sequenceId,ParameterKey,ParameterValue
2_27C,expgroup,Control
2_27C,repmark,59.57
2_27C,presmark,19.5
2_27C,teammark,72.57
2_27C,airtime_evenness,-9.610075350540406
2_27C,psy_safe,4.382857142857143
2_27D,expgroup,Control
2_27D,repmark,60.1
2_27D,presmark,18.25
2_27D,teammark,72.26666666666667
2_27D,airtime_evenness,-6.758598256171854
2_27D,psy_safe,4.218095238095238
2_27E,expgroup,Control
2_27E,repmark,55.42000000000001
2_27E,presmark,13.25
2_27E,teammark,64.25333333333333
2_27E,airtime_evenness,-8.710053800797791
2_27E,psy_safe,4.752380952380952
2_28A,expgroup,Reflection
2_28A,repmark,48.0
2_28A,presmark,23.66666667
2_28A,teammark,63.77777778
2_28A,airtime_evenness,-10.847089959264878
2_28A,psy_safe,4.066666666666667
2_28B,expgroup,Reflection
2_28B,repmark,56.82999999999999
2_28B,presmark,24.33333333
2_28B,teammark,73.05222221999999
2_28B,airtime_evenness,-9.26350692461866
2_28B,psy_safe,4.585714285714286
2_28C,expgroup,Reflection
2_28C,repmark,49.87
2_28C,presmark,24.0
2_28C,teammark,65.87
2_28C,airtime_evenness,-4.398684854623783
2_28C,psy_safe,4.616190476190477
2_28D,expgroup,Reflection
2_28D,repmark,50.21
2_28D,presmark,23.0
2_28D,teammark,65.54333333333334
2_28D,airtime_evenness,-7.665610808986536
2_28D,psy_safe,4.561857142857142
2_28E,expgroup,Reflection
2_28E,repmark,45.74
2_28E,presmark,22.0
2_28E,teammark,60.40666666666666
2_28E,airtime_evenness,-6.916798545600954
2_28E,psy_safe,4.358095238095238
2_28F,expgroup,Reflection
2_28F,repmark,51.220000000000006
2_28F,presmark,21.0
2_28F,teammark,65.22
2_28F,airtime_evenness,-12.015663396945849
2_28F,psy_safe,4.788571428571428
2_29A,expgroup,Feedback
2_29A,repmark,57.0
2_29A,presmark,15.0
2_29A,teammark,67.0
2_29A,airtime_evenness,-8.977333239688557
2_29A,psy_safe,4.490476190476191
2_29C,expgroup,Feedback
2_29C,repmark,64.0
